order_id,customer_id,order_date,order_status
10001,934,2026-05-18,Delivered
10002,315,2026-01-08,Delivered
10003,331,2025-09-02,Processing
10004,304,2025-06-18,Delivered
10005,463,2026-02-22,Delivered
10006,45,2025-12-22,Delivered
10007,17,2026-04-23,Delivered
10008,29,2025-05-05,Delivered
10009,271,2026-06-21,Delivered
10010,136,2026-02-06,Delivered
10011,443,2026-06-01,Delivered
10012,989,2026-06-15,Delivered
10013,221,2025-09-11,Delivered
10014,384,2025-05-01,Delivered
10015,246,2025-02-01,Delivered
10016,775,2025-02-06,Delivered
10017,856,2025-12-08,Shipped
10018,820,2025-01-13,Processing
10019,963,2025-07-02,Delivered
10020,14,2025-09-22,Delivered
10021,764,2025-03-29,Delivered
10022,634,2026-04-07,Delivered
10023,113,2025-02-15,Delivered
10024,936,2026-01-27,Delivered
10025,73,2025-04-29,Shipped
10026,528,2026-06-15,Delivered
10027,111,2026-03-23,Delivered
10028,260,2025-02-15,Processing
10029,586,2026-05-23,Delivered
10030,375,2026-06-10,Delivered
10031,257,2025-01-03,Returned
10032,169,2025-01-28,Cancelled
10033,764,2026-01-16,Shipped
10034,71,2025-06-06,Delivered
10035,259,2026-05-26,Delivered
10036,859,2025-11-29,Cancelled
10037,773,2025-04-24,Delivered
10038,234,2026-01-24,Processing
10039,651,2026-05-02,Delivered
10040,740,2025-09-07,Delivered
10041,837,2025-11-11,Returned
10042,358,2025-08-27,Delivered
10043,101,2025-08-22,Delivered
10044,126,2025-10-30,Delivered
10045,146,2025-11-30,Delivered
10046,401,2025-04-23,Delivered
10047,17,2025-12-28,Delivered
10048,464,2025-04-07,Delivered
10049,202,2025-01-16,Shipped
10050,146,2026-01-11,Delivered
10051,823,2026-01-25,Returned
10052,285,2025-08-05,Delivered
10053,47,2026-02-03,Delivered
10054,745,2025-09-17,Delivered
10055,24,2025-11-16,Shipped
10056,597,2025-07-15,Returned
10057,667,2026-04-23,Processing
10058,192,2026-02-22,Delivered
10059,742,2026-04-20,Delivered
10060,333,2026-06-28,Processing
10061,288,2025-08-19,Cancelled
10062,23,2026-06-05,Returned
10063,143,2025-07-19,Delivered
10064,899,2025-01-21,Returned
10065,226,2025-11-07,Delivered
10066,360,2026-03-10,Delivered
10067,347,2026-01-06,Delivered
10068,398,2025-03-19,Delivered
10069,31,2026-06-26,Shipped
10070,200,2025-10-12,Processing
10071,592,2025-05-20,Shipped
10072,99,2025-10-09,Delivered
10073,101,2025-09-15,Delivered
10074,5,2025-12-26,Shipped
10075,265,2026-03-16,Delivered
10076,828,2025-09-27,Processing
10077,26,2025-05-14,Delivered
10078,94,2025-04-14,Shipped
10079,155,2025-04-05,Delivered
10080,605,2026-04-25,Cancelled
10081,470,2025-08-29,Delivered
10082,247,2025-01-13,Delivered
10083,645,2025-05-27,Shipped
10084,425,2025-04-05,Delivered
10085,847,2025-10-20,Cancelled
10086,732,2025-01-25,Delivered
10087,125,2025-09-29,Delivered
10088,134,2026-05-20,Cancelled
10089,62,2025-06-15,Delivered
10090,178,2025-03-28,Delivered
10091,1000,2026-05-06,Delivered
10092,238,2025-05-21,Delivered
10093,109,2025-04-13,Delivered
10094,650,2025-08-14,Delivered
10095,356,2025-10-21,Processing
10096,74,2025-11-02,Shipped
10097,216,2025-09-11,Delivered
10098,245,2025-06-29,Shipped
10099,637,2025-02-09,Delivered
10100,11,2026-06-04,Delivered
10101,133,2026-06-30,Delivered
10102,335,2025-08-24,Delivered
10103,133,2026-04-08,Shipped
10104,452,2025-08-16,Delivered
10105,304,2026-04-28,Delivered
10106,200,2026-03-06,Shipped
10107,926,2025-01-22,Shipped
10108,458,2025-12-09,Delivered
10109,64,2025-02-09,Shipped
10110,372,2025-06-22,Delivered
10111,677,2026-03-15,Cancelled
10112,571,2025-06-28,Delivered
10113,85,2025-05-13,Processing
10114,960,2025-12-17,Delivered
10115,275,2026-06-09,Delivered
10116,79,2026-06-24,Delivered
10117,89,2026-05-21,Delivered
10118,49,2025-03-25,Shipped
10119,711,2026-04-09,Delivered
10120,60,2025-12-09,Processing
10121,62,2025-10-07,Delivered
10122,780,2025-09-20,Shipped
10123,185,2025-06-15,Delivered
10124,16,2025-10-20,Returned
10125,26,2026-05-24,Processing
10126,70,2025-08-14,Shipped
10127,105,2025-06-19,Delivered
10128,507,2026-03-24,Delivered
10129,78,2026-05-17,Delivered
10130,59,2026-06-11,Delivered
10131,653,2026-01-14,Delivered
10132,515,2025-07-20,Delivered
10133,264,2025-09-07,Delivered
10134,362,2026-02-13,Delivered
10135,156,2025-05-05,Delivered
10136,304,2025-04-23,Processing
10137,325,2025-05-17,Delivered
10138,222,2026-05-11,Shipped
10139,863,2025-05-30,Delivered
10140,8,2025-12-09,Delivered
10141,679,2025-11-17,Delivered
10142,62,2026-06-16,Shipped
10143,702,2025-10-16,Delivered
10144,434,2026-05-04,Processing
10145,769,2026-05-07,Delivered
10146,48,2025-09-09,Delivered
10147,371,2025-03-18,Shipped
10148,321,2026-01-27,Delivered
10149,567,2026-02-16,Shipped
10150,349,2025-06-22,Delivered
10151,355,2025-07-20,Delivered
10152,259,2025-08-05,Shipped
10153,154,2026-01-11,Returned
10154,304,2025-01-11,Delivered
10155,59,2025-01-12,Processing
10156,944,2026-03-11,Delivered
10157,579,2026-01-08,Processing
10158,930,2025-09-30,Delivered
10159,112,2026-05-24,Delivered
10160,823,2025-05-12,Delivered
10161,718,2025-11-15,Delivered
10162,524,2025-06-17,Delivered
10163,447,2026-02-01,Delivered
10164,160,2025-06-29,Delivered
10165,730,2025-02-27,Returned
10166,321,2026-04-25,Delivered
10167,35,2026-04-05,Delivered
10168,157,2025-03-02,Delivered
10169,905,2026-01-04,Cancelled
10170,780,2025-05-01,Delivered
10171,974,2026-06-30,Delivered
10172,452,2025-01-17,Delivered
10173,122,2026-05-11,Delivered
10174,81,2026-05-12,Delivered
10175,92,2026-05-20,Delivered
10176,10,2026-06-16,Delivered
10177,225,2025-11-11,Delivered
10178,95,2025-03-10,Delivered
10179,243,2025-06-10,Delivered
10180,905,2025-05-25,Delivered
10181,259,2026-01-20,Cancelled
10182,821,2025-09-26,Cancelled
10183,419,2026-03-30,Delivered
10184,122,2026-06-02,Delivered
10185,195,2025-12-16,Delivered
10186,42,2025-04-20,Delivered
10187,175,2026-04-28,Delivered
10188,525,2026-02-11,Delivered
10189,36,2025-02-20,Cancelled
10190,101,2026-02-07,Processing
10191,217,2026-04-21,Delivered
10192,974,2025-03-28,Delivered
10193,683,2025-03-09,Cancelled
10194,607,2025-02-11,Cancelled
10195,58,2025-02-26,Returned
10196,677,2025-07-15,Delivered
10197,684,2025-03-03,Delivered
10198,412,2025-09-20,Delivered
10199,986,2025-04-22,Delivered
10200,168,2025-06-27,Delivered
10201,914,2025-01-26,Delivered
10202,875,2026-02-14,Cancelled
10203,6,2026-06-15,Processing
10204,276,2025-11-13,Delivered
10205,967,2026-06-16,Cancelled
10206,51,2025-04-16,Delivered
10207,361,2026-04-09,Processing
10208,969,2025-09-03,Delivered
10209,368,2025-03-22,Delivered
10210,94,2026-01-31,Delivered
10211,391,2026-06-06,Delivered
10212,101,2025-09-21,Delivered
10213,337,2025-10-01,Delivered
10214,37,2025-06-21,Returned
10215,419,2025-09-22,Delivered
10216,334,2025-01-26,Delivered
10217,617,2026-04-14,Delivered
10218,456,2026-04-21,Delivered
10219,363,2025-12-22,Delivered
10220,543,2025-01-26,Shipped
10221,71,2025-02-03,Delivered
10222,404,2025-09-21,Delivered
10223,85,2025-05-18,Shipped
10224,891,2026-04-07,Delivered
10225,34,2025-06-17,Delivered
10226,259,2025-03-22,Cancelled
10227,552,2026-02-11,Delivered
10228,283,2025-02-15,Delivered
10229,46,2025-02-22,Cancelled
10230,366,2026-04-21,Delivered
10231,472,2025-01-16,Delivered
10232,564,2025-12-26,Returned
10233,210,2026-05-02,Delivered
10234,375,2026-05-17,Delivered
10235,277,2025-05-21,Processing
